As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-04-01,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
2020-04-01,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
2020-04-01,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76
2020-04-01,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30
2020-04-01,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
2020-04-01,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14
2020-04-01,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5
2020-04-01,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
2020-04-01,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11
2020-04-01,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15
2020-04-02,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
2020-04-02,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
2020-04-02,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84
2020-04-02,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7
2020-04-02,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6
2020-04-02,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35
2020-04-02,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4
2020-04-02,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8
2020-04-02,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57
2020-04-02,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15
2020-04-03,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
2020-04-03,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
2020-04-03,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92
2020-04-03,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13
2020-04-03,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13
2020-04-03,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9
2020-04-03,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12
2020-04-03,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3
2020-04-03,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2
2020-04-03,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36
2020-04-04,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
2020-04-04,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
2020-04-04,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8
2020-04-04,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99
2020-04-04,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6
2020-04-04,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18
2020-04-04,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13
2020-04-04,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16
2020-04-04,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14
2020-04-04,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4
2020-04-05,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
2020-04-05,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
2020-04-05,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14
2020-04-05,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15
2020-04-05,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105
2020-04-05,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23
2020-04-05,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20
2020-04-05,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16
2020-04-05,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2
2020-04-05,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15
2020-04-06,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
2020-04-06,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
2020-04-06,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22
2020-04-06,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9
2020-04-06,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21
2020-04-06,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110
2020-04-06,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27
2020-04-06,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23
2020-04-06,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18
2020-04-06,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1
2020-04-07,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
2020-04-07,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
2020-04-07,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30
2020-04-07,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16
2020-04-07,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27
2020-04-07,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115
2020-04-07,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4
2020-04-07,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26
2020-04-07,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29
2020-04-07,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1
2020-04-08,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
2020-04-08,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
2020-04-08,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38
2020-04-08,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11
2020-04-08,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22
2020-04-08,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32
2020-04-08,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119
2020-04-08,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4
2020-04-08,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28
2020-04-08,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2
2020-04-09,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
2020-04-09,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
2020-04-09,3,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19
2020-04-09,4,5,-,Angel Has Fallen,Movie,,"Apr 4, 2020",5,29
2020-04-09,5,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44
2020-04-09,6,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37
2020-04-09,7,7,3,All American,TV Show,,"Mar 28, 2019",17,123
2020-04-09,8,8,-,Legacies,TV Show,,"Apr 5, 2019",3,7
2020-04-09,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30
2020-04-09,10,10,-,The Hangover,Movie,,"Jul 1, 2019",3,3
2020-04-10,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180
2020-04-10,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126
2020-04-10,3,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27
2020-04-10,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",6,36
2020-04-10,5,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43
2020-04-10,6,7,3,All American,TV Show,,"Mar 28, 2019",18,128
2020-04-10,7,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48
2020-04-10,8,8,-,Legacies,TV Show,,"Apr 5, 2019",4,10
2020-04-10,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32
2020-04-10,10,-,-,Community,TV Show,,"Apr 1, 2020",1,1
2020-04-11,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190
2020-04-11,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135
2020-04-11,3,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",7,44
2020-04-11,4,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34
2020-04-11,5,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49
2020-04-11,6,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5
2020-04-11,7,6,4,All American,TV Show,,"Mar 28, 2019",19,132
2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51
2020-04-11,9,8,-,Legacies,TV Show,,"Apr 5, 2019",5,12
2020-04-11,10,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33
2020-04-12,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200
2020-04-12,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144
2020-04-12,3,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13
2020-04-12,4,3,9,Angel Has Fallen,Movie,,"Apr 4, 2020",8,51
2020-04-12,5,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40
2020-04-12,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54
2020-04-12,7,-,-,Code 8,Movie,,"Apr 11, 2020",1,4
2020-04-12,8,7,5,All American,TV Show,,"Mar 28, 2019",20,135
2020-04-12,9,9,-,Legacies,TV Show,,"Apr 5, 2019",6,14
2020-04-12,10,-,-,Community,TV Show,,"Apr 1, 2020",2,2
2020-04-13,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210
2020-04-13,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13
2020-04-13,3,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152
2020-04-13,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58
2020-04-13,5,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19
2020-04-13,6,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59
2020-04-13,7,-,-,Hop,Movie,,"Jan 16, 2020",1,4
2020-04-13,8,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43
2020-04-13,9,8,6,All American,TV Show,,"Mar 28, 2019",21,137
2020-04-13,10,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1
2020-04-14,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220
2020-04-14,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161
2020-04-14,3,2,-,Code 8,Movie,,"Apr 11, 2020",3,21
2020-04-14,4,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66
2020-04-14,5,9,6,All American,TV Show,,"Mar 28, 2019",22,143
2020-04-14,6,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24
2020-04-14,7,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47
2020-04-14,8,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4
2020-04-14,9,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",10,60
2020-04-14,10,-,10,Legacies,TV Show,,"Apr 5, 2019",7,15
2020-04-15,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230
2020-04-15,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170
2020-04-15,3,3,-,Code 8,Movie,,"Apr 11, 2020",4,29
2020-04-15,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7
2020-04-15,5,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72
2020-04-15,6,5,7,All American,TV Show,,"Mar 28, 2019",23,148
2020-04-15,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51
2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27
2020-04-15,9,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6
2020-04-15,10,9,5,Angel Has Fallen,Movie,,"Apr 4, 2020",11,61
2020-04-16,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240
2020-04-16,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179
2020-04-16,3,3,-,Code 8,Movie,,"Apr 11, 2020",5,37
2020-04-16,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14
2020-04-16,5,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6
2020-04-16,6,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5
2020-04-16,7,6,7,All American,TV Show,,"Mar 28, 2019",24,152
2020-04-16,8,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75
2020-04-16,9,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53
2020-04-16,10,10,4,Angel Has Fallen,Movie,,"Apr 4, 2020",12,62
2020-04-17,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10
2020-04-17,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249
2020-04-17,3,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13
2020-04-17,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186
2020-04-17,5,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12
2020-04-17,6,3,-,Code 8,Movie,,"Apr 11, 2020",6,42
2020-04-17,7,7,6,All American,TV Show,,"Mar 28, 2019",25,156
2020-04-17,8,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78
2020-04-17,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16
2020-04-17,10,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54
